CPU Core Func 33 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 34 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 35 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 36 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 37 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 38 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 39 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 40 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 41 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 42 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 43 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 44 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 45 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 46 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 47 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 48 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
P1-DIMMA1 Func   | 0x40       | discrete   | 0x4000| na        | na        | na        | na        | na        | na        
P1-DIMMA2 Func   | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
P1-DIMMB1 Func   | 0x40       | discrete   | 0x4000| na        | na        | na        | na        | na        | na        
P1-DIMMB2 Func   | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
P1-DIMMC1 Func   | 0x40       | discrete   | 0x4000| na        | na        | na        | na        | na        | na        
P1-DIMMC2 Func   | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
P1-DIMMD1 Func   | 0x40       | discrete   | 0x4000| na        | na        | na        | na        | na        | na        
P1-DIMMD2 Func   | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
P2-DIMMA1 Func   | 0x40       | discrete   | 0x4000| na        | na        | na        | na        | na        | na        
P2-DIMMA2 Func   | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
